outer_code,rs,pval,npts
CH63,0.9743989749206668,9.971960815480533e-63,96
TS20,0.9001576940675149,1.070900617750499e-35,96
TS16,0.9562670215346645,1.925549243671641e-51,95
PR26,0.7279029247889314,4.402011338312492e-17,96
FY8,0.967504985235314,6.276112474343625e-58,96
L19,0.9762780840742189,2.8928288065611158e-64,96
L6,0.5680954175092366,1.572174134260619e-09,96
YO1,-0.4484578419891478,4.60084224713925e-06,96
DN3,0.6972794429732281,2.975316093475605e-15,96
S13,0.9294921578275608,1.6914010700292067e-42,96
LS18,0.9241298406732649,4.678111681003687e-41,96
CV33,0.9166208861469836,3.311838452452376e-39,96
GL20,0.9348223464782776,4.760065582369691e-44,96
WF15,0.8191909753628721,2.0057193662598388e-24,96
NG18,0.6404270329821081,2.1204767715749743e-12,96
NR13,0.8560149776561221,1.1075115283106222e-28,96
NR14,0.9072885865679362,3.89350644141838e-37,96
NN8,0.9713644287013214,1.7996529575937812e-60,96
NN12,0.9390506946474172,2.244658295423677e-45,96
WV5,0.8497865147457099,6.969831494070327e-28,96
NW5,0.8886680798225398,1.363722641827367e-33,96
N12,0.8442655248333274,3.3244775702834626e-27,96
BS31,0.9624414581191428,5.049436635384729e-55,96
BS48,0.4779342694486724,8.464080275901755e-07,96
PL23,0.9290414098561606,2.2581787224793472e-42,96
TQ13,0.9713066804627785,1.975779082343792e-60,96
KT12,0.8483709829604207,1.046524712409047e-27,96
BN11,0.8796744384477835,4.239275332522063e-32,96
ST7,0.9754881680105543,1.3247343327894973e-63,96
CW8,0.974026282463043,1.9502817305357248e-62,96
DH7,0.9520644342191059,3.7951879314571927e-50,96
OL13,0.9744266253891296,9.484109892644627e-63,96
NE23,0.9382592123059833,4.0414247119338537e-45,96
NE43,0.9234661740186327,6.935975550565098e-41,96
WN5,0.9665446928750308,2.4133300802352015e-57,96
NE31,0.9570805553703273,2.3616206860584587e-52,96
YO62,0.9480188283404543,1.5578978667723922e-48,96
HX1,0.44779662676886167,4.770437212186951e-06,96
SG12,0.891921497963505,3.655386888366069e-34,96
RM13,0.9347351306858157,5.058569171041656e-44,96
BS40,-0.7479143776376882,2.032737450643441e-18,96
TA7,0.7099034468804042,5.595523529372501e-16,96
TA20,0.9462196398176806,7.396615622743069e-48,96
ME4,0.7811073513379109,6.193910864605454e-21,96
BN27,0.9549570326929245,2.1763030695060507e-51,96
BN5,0.7107523791266299,4.984864207907589e-16,96
RH2,0.883420437399495,1.0484936338313709e-32,96
SL8,0.8594273943376279,1.1457746561009254e-27,91
SL6,0.9642526495663435,5.157342100281617e-56,96
PO11,0.9751007238428626,2.74415448048008e-63,96
RG42,0.8749461630039853,2.3168532306506176e-31,96
PO17,0.9202045794015281,4.568976440638777e-40,96
BH7,-0.2763267082176402,0.006425290049574104,96
DT8,0.8224967369824939,9.140817394303022e-25,96
TS23,0.9538795442213781,6.448747404088123e-51,96
M28,0.5959562390593235,1.4971418286169908e-10,96
SR4,0.9410910916056949,4.749754681187208e-46,96
DN7,0.9700418478373405,1.457805652856183e-59,96
HR6,0.8622298798463609,1.6177139523767223e-29,96
B14,0.9555751492132392,1.1530544319068371e-51,96
NR34,0.9024228132011379,3.8422590506153325e-36,96
CO12,0.5585376609852108,3.3528389704598677e-09,96
SS6,0.9447325139128377,2.5754887691608505e-47,96
SY13,0.932752733494419,1.971401620990132e-43,96
EN1,0.798186325917535,2.0868172253678772e-22,96
RM11,0.09551297319237537,0.3546061507906485,96
E1W,-0.12649546344068888,0.21940870626464087,96
GL13,0.5636214502836892,2.2478307971169645e-09,96
SP9,-0.027115349243809386,0.8442109981187242,55
TR6,0.9259371051313144,1.571451425005938e-41,96
SE6,0.7715603490718981,3.620902952366702e-20,96
TR15,-0.17774552270115757,0.08317486148568336,96
BR8,0.9438635882458362,5.254723487572627e-47,96
ME5,-0.08838332491386836,0.39182644363038666,96
GU19,0.830837406707123,1.1682646607786003e-25,96
HP12,0.23425709073725481,0.021605151037713308,96
SK10,0.5332306876797496,2.228081362522432e-08,96
TS17,0.7208250248224881,1.2249627588516075e-16,96
M21,0.9360979136027279,1.9366631012938353e-44,96
FY2,0.03880248780940992,0.7074028963453782,96
LA13,0.5984420204320761,1.2004751930942662e-10,96
DN6,0.8770330580440387,1.1043117052887356e-31,96
S11,0.9677555010479884,4.3874037921660476e-58,96
S12,0.9728666529259541,1.479667400548058e-61,96
HX2,0.8725964311986336,5.2530704442857e-31,96
HD7,0.8176133056135029,2.9020552219677627e-24,96
DE75,0.9522391615258112,3.209551585733319e-50,96
MK15,0.7354308788079024,1.4302197293453946e-17,96
LU1,0.959261256317427,2.140877618908569e-53,96
CM21,0.5802009839386061,5.815164943068348e-10,96
N21,-0.1620917693474592,0.1146075036750367,96
TW1,0.929630006978105,1.5477326132647872e-42,96
W14,-0.6168022091560128,2.211799279244433e-11,96
SW1W,0.8125146287535837,9.349527502337451e-24,96
SM6,0.7518279371908078,1.0768930842805704e-18,96
SW11,0.5502319652585261,6.35205878788477e-09,96
BS15,0.9562937893179079,5.4467529152390256e-52,96
TN27,0.7579844903630875,3.8690895351490603e-19,96
GU8,0.9527762802262769,1.9097123743472426e-50,96
BN25,0.8268480776551111,3.168287623738209e-25,96
GU15,0.8270042791653582,3.0483739639066853e-25,96
RG2,0.875470546845899,1.9256663752221724e-31,96
BH24,0.9281649545812914,3.939650263663099e-42,96
BL8,0.8025027555201995,8.41096979033628e-23,96
SK4,0.9306655363779625,7.89900970582476e-43,96
WN6,0.9703094532976083,9.620642516637313e-60,96
BB4,0.9253516733308402,2.2442691512039894e-41,96
BB12,0.9489102090691306,7.053701543253606e-49,96
L22,0.3796768604703605,0.00013605937876802316,96
L5,0.9810598996021107,8.194150776056838e-69,96
YO14,0.8730555452386024,4.482346482905528e-31,96
BD17,0.9516303020847009,5.740055968693359e-50,96
HX6,0.9287075665801113,2.7937368582830458e-42,96
B60,0.8651050184899853,6.434298214538297e-30,96
B70,0.6754322309946988,4.412832364521766e-14,96
DE23,0.9503894844782859,1.8344473903678572e-49,96
NR27,0.8427749754661379,5.016488158755053e-27,96
LE18,0.9544061004880426,3.805039527952119e-51,96
ST16,0.9612213823352286,2.2060554640810937e-54,96
E3,0.6041271726175819,7.192562721896707e-11,96
SE28,0.38095658329842674,0.0001285890034535465,96
SE10,0.6983507935499653,2.590636728012806e-15,96
GL17,0.9596806743688272,1.3290455346660967e-53,96
TA11,0.8518541151983182,3.820241004258931e-28,96
BS32,-0.12000990819831527,0.2441550810300383,96
TN23,0.8994377047369946,1.475771493724441e-35,96
GU27,-0.2893775564877466,0.004241494564143192,96
TW18,0.7450468368570241,3.2140666430139935e-18,96
TW16,0.7557775973951999,5.603748487854913e-19,96
GU47,0.8480663313070549,1.1415806327764206e-27,96
RG45,0.8705093185317392,1.0723528644585599e-30,96
