bnf_sec = Gastro-Intestinal System, imd_cat = crime, column = items, correlation = -0.3405188276301066
bnf_sec = Gastro-Intestinal System, imd_cat = crime, column = quantity, correlation = -0.3180635828023336
bnf_sec = Gastro-Intestinal System, imd_cat = crime, column = act_cost, correlation = -0.31920095938404147
bnf_sec = Gastro-Intestinal System, imd_cat = crime, column = net_ingredient_cost, correlation = -0.31941726327797426
bnf_sec = Gastro-Intestinal System, imd_cat = education, column = items, correlation = -0.10460143367944205
bnf_sec = Gastro-Intestinal System, imd_cat = education, column = quantity, correlation = -0.09286800845197968
bnf_sec = Gastro-Intestinal System, imd_cat = education, column = act_cost, correlation = -0.13642986339164806
bnf_sec = Gastro-Intestinal System, imd_cat = education, column = net_ingredient_cost, correlation = -0.13676065581342006
bnf_sec = Gastro-Intestinal System, imd_cat = housing, column = items, correlation = 0.11882626880021567
bnf_sec = Gastro-Intestinal System, imd_cat = housing, column = quantity, correlation = 0.10044097115904428
bnf_sec = Gastro-Intestinal System, imd_cat = housing, column = act_cost, correlation = 0.09365234550343528
bnf_sec = Gastro-Intestinal System, imd_cat = housing, column = net_ingredient_cost, correlation = 0.09417821068417319
bnf_sec = Gastro-Intestinal System, imd_cat = income, column = items, correlation = -0.18013150003358674
bnf_sec = Gastro-Intestinal System, imd_cat = income, column = quantity, correlation = -0.16918212435536606
bnf_sec = Gastro-Intestinal System, imd_cat = income, column = act_cost, correlation = -0.20073965099531307
bnf_sec = Gastro-Intestinal System, imd_cat = income, column = net_ingredient_cost, correlation = -0.20120639340041496
bnf_sec = Gastro-Intestinal System, imd_cat = health, column = items, correlation = -0.12077110370708562
bnf_sec = Gastro-Intestinal System, imd_cat = health, column = quantity, correlation = -0.11325488113710137
bnf_sec = Gastro-Intestinal System, imd_cat = health, column = act_cost, correlation = -0.15749584916525886
bnf_sec = Gastro-Intestinal System, imd_cat = health, column = net_ingredient_cost, correlation = -0.15813551677687462
bnf_sec = Gastro-Intestinal System, imd_cat = IMD, column = items, correlation = -0.1228154287542685
bnf_sec = Gastro-Intestinal System, imd_cat = IMD, column = quantity, correlation = -0.11309373238370532
bnf_sec = Gastro-Intestinal System, imd_cat = IMD, column = act_cost, correlation = -0.15476471957703614
bnf_sec = Gastro-Intestinal System, imd_cat = IMD, column = net_ingredient_cost, correlation = -0.1551644725492554
bnf_sec = Gastro-Intestinal System, imd_cat = children, column = items, correlation = -0.18024180133994844
bnf_sec = Gastro-Intestinal System, imd_cat = children, column = quantity, correlation = -0.17049093394769116
bnf_sec = Gastro-Intestinal System, imd_cat = children, column = act_cost, correlation = -0.1999325551977318
bnf_sec = Gastro-Intestinal System, imd_cat = children, column = net_ingredient_cost, correlation = -0.20043606837117248
bnf_sec = Gastro-Intestinal System, imd_cat = employment, column = items, correlation = -0.11624836178368528
bnf_sec = Gastro-Intestinal System, imd_cat = employment, column = quantity, correlation = -0.10755699514109891
bnf_sec = Gastro-Intestinal System, imd_cat = employment, column = act_cost, correlation = -0.15171625199095418
