crime seems to be a very good predictor of the amount of certain drugs



     bnf_sec  bnf_sub_sec   imd_cat  abs_corr
352        6            2     crime  0.366811
362        6            3     crime  0.340184
22         1            3     crime  0.331403
52         1            6     crime  0.319420
392        6            6     crime  0.319137
32         1            4     crime  0.313671
102        3            2     crime  0.310595
182        4            1     crime  0.299080
242        4            7     crime  0.294006
2          1            1     crime  0.293697
282        4           11     crime  0.286702
262        4            9     crime  0.283857
202        4            3     crime  0.281279
232        4            6     crime  0.279691
92         3            1     crime  0.278519
42         1            5     crime  0.276444
12         1            2     crime  0.275440
372        6            4     crime  0.269014
342        6            1     crime  0.266046
252        4            8     crime  0.255759
358        6            2    income  0.251314
72         1            8     crime  0.249370
122        3            4     crime  0.248375
351        6            2  children  0.247230
112        3            3     crime  0.245366
