bnf_sec,bnf_sub_sec,imd_cat,prescribe_col,corr,ndata_pts
1,1,crime,items,-0.2950835306057808,11293
1,1,crime,quantity,-0.2945704566214075,11293
1,1,crime,act_cost,-0.29245157123046295,11293
1,1,crime,net_ingredient_cost,-0.2926834239463265,11293
1,1,education,items,-0.07271293447069047,11293
1,1,education,quantity,-0.06591140878214256,11293
1,1,education,act_cost,-0.1046569109637182,11293
1,1,education,net_ingredient_cost,-0.10493127675867449,11293
1,1,housing,items,0.1109220924026707,11293
1,1,housing,quantity,0.10874032903220164,11293
1,1,housing,act_cost,0.0974649674445378,11293
1,1,housing,net_ingredient_cost,0.09783604621533351,11293
1,1,income,items,-0.14451770311582662,11293
1,1,income,quantity,-0.14029681250525486,11293
1,1,income,act_cost,-0.17430527378229035,11293
1,1,income,net_ingredient_cost,-0.17455739720166477,11293
1,1,health,items,-0.08339004067397379,11293
1,1,health,quantity,-0.07187551630245041,11293
1,1,health,act_cost,-0.12613295370571975,11293
1,1,health,net_ingredient_cost,-0.12646238698946533,11293
1,1,IMD,items,-0.08426700057813058,11293
1,1,IMD,quantity,-0.07650563212344547,11293
1,1,IMD,act_cost,-0.1200020743987234,11293
1,1,IMD,net_ingredient_cost,-0.12024879368052738,11293
1,1,children,items,-0.14825826343006984,11293
1,1,children,quantity,-0.14265158511843645,11293
1,1,children,act_cost,-0.17673089907361597,11293
1,1,children,net_ingredient_cost,-0.17699642254339898,11293
1,1,employment,items,-0.08176671450337303,11293
1,1,employment,quantity,-0.07319827237658372,11293
1,1,employment,act_cost,-0.11988874939118029,11293
1,1,employment,net_ingredient_cost,-0.12023175743357094,11293
1,1,environment,items,0.003734125383025378,11221
1,1,environment,quantity,0.013550305181715076,11221
1,1,environment,act_cost,-0.012627642131292392,11221
1,1,environment,net_ingredient_cost,-0.01263587975809644,11221
1,1,living,items,0.12431137505117183,11293
1,1,living,quantity,0.13481618084409064,11293
1,1,living,act_cost,0.09673632025906076,11293
1,1,living,net_ingredient_cost,0.09685634825191376,11293
1,6,crime,items,-0.3285052786778828,11300
1,6,crime,quantity,-0.29237403983734656,11300
1,6,crime,act_cost,-0.3280929056752091,11300
1,6,crime,net_ingredient_cost,-0.3287071367123507,11300
1,6,education,items,-0.10717398581189685,11300
1,6,education,quantity,-0.10364827675773029,11300
1,6,education,act_cost,-0.12036823100548079,11300
1,6,education,net_ingredient_cost,-0.1208565798514332,11300
1,6,housing,items,0.099600909275237,11300
1,6,housing,quantity,0.09072445508054058,11300
1,6,housing,act_cost,0.08024763989459605,11300
1,6,housing,net_ingredient_cost,0.0810317016488563,11300
1,6,income,items,-0.1631724627080953,11300
1,6,income,quantity,-0.1709745784124028,11300
1,6,income,act_cost,-0.18543436364604152,11300
1,6,income,net_ingredient_cost,-0.1863320889968791,11300
1,6,health,items,-0.11009300934676575,11300
1,6,health,quantity,-0.12988510195662828,11300
1,6,health,act_cost,-0.13462319892324254,11300
1,6,health,net_ingredient_cost,-0.13570100239871197,11300
1,6,IMD,items,-0.11905979554621232,11300
1,6,IMD,quantity,-0.12672472718208125,11300
1,6,IMD,act_cost,-0.14174051624671846,11300
1,6,IMD,net_ingredient_cost,-0.1424332593133645,11300
