bnf_sec,bnf_sub_sec,imd_cat,prescribe_col,corr
2,Positive Inotropic Drugs ,crime,items,-0.36114021730249024
2,Positive Inotropic Drugs ,crime,quantity,-0.36485017018364846
2,Positive Inotropic Drugs ,crime,act_cost,-0.30170337716702117
2,Positive Inotropic Drugs ,crime,net_ingredient_cost,-0.30079393132893145
2,Positive Inotropic Drugs ,education,items,-0.1376452324361967
2,Positive Inotropic Drugs ,education,quantity,-0.14386162423577992
2,Positive Inotropic Drugs ,education,act_cost,-0.12197709709284048
2,Positive Inotropic Drugs ,education,net_ingredient_cost,-0.12138693247302662
2,Positive Inotropic Drugs ,housing,items,0.09884435920334089
2,Positive Inotropic Drugs ,housing,quantity,0.07196057911984474
2,Positive Inotropic Drugs ,housing,act_cost,0.05784494576881832
2,Positive Inotropic Drugs ,housing,net_ingredient_cost,0.05860113884994269
2,Positive Inotropic Drugs ,income,items,-0.2242289522097441
2,Positive Inotropic Drugs ,income,quantity,-0.24777029592222072
2,Positive Inotropic Drugs ,income,act_cost,-0.20607153487791252
2,Positive Inotropic Drugs ,income,net_ingredient_cost,-0.2057771820235187
2,Positive Inotropic Drugs ,health,items,-0.17933052204751912
2,Positive Inotropic Drugs ,health,quantity,-0.20694451777163153
2,Positive Inotropic Drugs ,health,act_cost,-0.17253430213590815
2,Positive Inotropic Drugs ,health,net_ingredient_cost,-0.17242265823223846
2,Positive Inotropic Drugs ,IMD,items,-0.17544202003723172
2,Positive Inotropic Drugs ,IMD,quantity,-0.2001526533875916
2,Positive Inotropic Drugs ,IMD,act_cost,-0.16763559699456457
2,Positive Inotropic Drugs ,IMD,net_ingredient_cost,-0.1671353340262698
2,Positive Inotropic Drugs ,children,items,-0.2208404225551293
2,Positive Inotropic Drugs ,children,quantity,-0.24559864858822425
2,Positive Inotropic Drugs ,children,act_cost,-0.20512696731213068
2,Positive Inotropic Drugs ,children,net_ingredient_cost,-0.20500327481744576
2,Positive Inotropic Drugs ,employment,items,-0.16704055403636037
2,Positive Inotropic Drugs ,employment,quantity,-0.19157083250954202
2,Positive Inotropic Drugs ,employment,act_cost,-0.16069771505138106
2,Positive Inotropic Drugs ,employment,net_ingredient_cost,-0.16064222804361888
2,Positive Inotropic Drugs ,environment,items,-0.05631498200029337
2,Positive Inotropic Drugs ,environment,quantity,-0.06961215710209422
2,Positive Inotropic Drugs ,environment,act_cost,-0.058326918469598414
2,Positive Inotropic Drugs ,environment,net_ingredient_cost,-0.05749618138137067
2,Positive Inotropic Drugs ,living,items,0.05660325418987055
2,Positive Inotropic Drugs ,living,quantity,0.04086428351686212
2,Positive Inotropic Drugs ,living,act_cost,0.03181716029720151
2,Positive Inotropic Drugs ,living,net_ingredient_cost,0.03275439333413367
2,Diuretics,crime,items,-0.376571379771474
2,Diuretics,crime,quantity,-0.37413047391624404
2,Diuretics,crime,act_cost,-0.3562608787860984
2,Diuretics,crime,net_ingredient_cost,-0.3569342025518863
2,Diuretics,education,items,-0.11451903416722983
2,Diuretics,education,quantity,-0.12919156438394758
2,Diuretics,education,act_cost,-0.13865950012478054
2,Diuretics,education,net_ingredient_cost,-0.13907139741659846
2,Diuretics,housing,items,0.10647801074332137
2,Diuretics,housing,quantity,0.07840855621206476
2,Diuretics,housing,act_cost,0.07788922192983665
2,Diuretics,housing,net_ingredient_cost,0.07924033365852537
2,Diuretics,income,items,-0.21344190737248003
2,Diuretics,income,quantity,-0.23370987604313628
2,Diuretics,income,act_cost,-0.23248431243801565
2,Diuretics,income,net_ingredient_cost,-0.23359405659690974
2,Diuretics,health,items,-0.15122838948914466
2,Diuretics,health,quantity,-0.1788043728554564
2,Diuretics,health,act_cost,-0.18668480545680738
2,Diuretics,health,net_ingredient_cost,-0.1880760079789254
2,Diuretics,IMD,items,-0.15654350097314193
2,Diuretics,IMD,quantity,-0.1828242312898797
2,Diuretics,IMD,act_cost,-0.18459629137998038
2,Diuretics,IMD,net_ingredient_cost,-0.18534473117072447
2,Diuretics,children,items,-0.21268959167716828
2,Diuretics,children,quantity,-0.23433703357743285
2,Diuretics,children,act_cost,-0.22972800685208505
2,Diuretics,children,net_ingredient_cost,-0.23096703476836677
2,Diuretics,employment,items,-0.14363267443689837
2,Diuretics,employment,quantity,-0.1683680495870583
2,Diuretics,employment,act_cost,-0.17156238285299114
2,Diuretics,employment,net_ingredient_cost,-0.17283314558092097
2,Diuretics,environment,items,-0.06730510034613098
2,Diuretics,environment,quantity,-0.07894372183943137
2,Diuretics,environment,act_cost,-0.07969477791699045
2,Diuretics,environment,net_ingredient_cost,-0.07930216042242137
2,Diuretics,living,items,0.06542292722094835
2,Diuretics,living,quantity,0.04555165550409212
2,Diuretics,living,act_cost,0.03324102953168288
2,Diuretics,living,net_ingredient_cost,0.034233928653222175
2,Anti-Arrhythmic Drugs,crime,items,-0.34611170144530556
2,Anti-Arrhythmic Drugs,crime,quantity,-0.37081488500990045
2,Anti-Arrhythmic Drugs,crime,act_cost,-0.3031038468204075
2,Anti-Arrhythmic Drugs,crime,net_ingredient_cost,-0.3029849354399801
2,Anti-Arrhythmic Drugs,education,items,-0.15394821333177736
2,Anti-Arrhythmic Drugs,education,quantity,-0.20853680902278063
2,Anti-Arrhythmic Drugs,education,act_cost,-0.15475652831096315
2,Anti-Arrhythmic Drugs,education,net_ingredient_cost,-0.15462808736311973
2,Anti-Arrhythmic Drugs,housing,items,0.1071192597627214
2,Anti-Arrhythmic Drugs,housing,quantity,0.08398101534443807
2,Anti-Arrhythmic Drugs,housing,act_cost,0.06618445841533258
2,Anti-Arrhythmic Drugs,housing,net_ingredient_cost,0.06649049294789576
2,Anti-Arrhythmic Drugs,income,items,-0.2319292538084712
2,Anti-Arrhythmic Drugs,income,quantity,-0.29525860021655687
2,Anti-Arrhythmic Drugs,income,act_cost,-0.22307160577332494
2,Anti-Arrhythmic Drugs,income,net_ingredient_cost,-0.2230447145876723
2,Anti-Arrhythmic Drugs,health,items,-0.20318660803045782
2,Anti-Arrhythmic Drugs,health,quantity,-0.28279410568448643
2,Anti-Arrhythmic Drugs,health,act_cost,-0.20521767934126828
2,Anti-Arrhythmic Drugs,health,net_ingredient_cost,-0.20527248936333012
2,Anti-Arrhythmic Drugs,IMD,items,-0.18976420880369974
2,Anti-Arrhythmic Drugs,IMD,quantity,-0.26025647921388007
2,Anti-Arrhythmic Drugs,IMD,act_cost,-0.19913369196762018
2,Anti-Arrhythmic Drugs,IMD,net_ingredient_cost,-0.19906646634392738
2,Anti-Arrhythmic Drugs,children,items,-0.23057700122949684
2,Anti-Arrhythmic Drugs,children,quantity,-0.29599850767146063
2,Anti-Arrhythmic Drugs,children,act_cost,-0.2257936863870414
2,Anti-Arrhythmic Drugs,children,net_ingredient_cost,-0.2258001047104758
2,Anti-Arrhythmic Drugs,employment,items,-0.18741372337560477
2,Anti-Arrhythmic Drugs,employment,quantity,-0.2597540997383186
2,Anti-Arrhythmic Drugs,employment,act_cost,-0.1935133092423634
2,Anti-Arrhythmic Drugs,employment,net_ingredient_cost,-0.19357301053931011
2,Anti-Arrhythmic Drugs,environment,items,-0.06052233563270144
2,Anti-Arrhythmic Drugs,environment,quantity,-0.10780651882364463
2,Anti-Arrhythmic Drugs,environment,act_cost,-0.08494055599419732
2,Anti-Arrhythmic Drugs,environment,net_ingredient_cost,-0.08488510649806316
2,Anti-Arrhythmic Drugs,living,items,0.049525890813032054
2,Anti-Arrhythmic Drugs,living,quantity,0.0039144639546105885
2,Anti-Arrhythmic Drugs,living,act_cost,-0.005822673859169919
2,Anti-Arrhythmic Drugs,living,net_ingredient_cost,-0.005729261192905744
2,Beta-Adrenoceptor Blocking Drugs,crime,items,-0.3629969140369366
2,Beta-Adrenoceptor Blocking Drugs,crime,quantity,-0.345518831630012
2,Beta-Adrenoceptor Blocking Drugs,crime,act_cost,-0.34344641788702146
2,Beta-Adrenoceptor Blocking Drugs,crime,net_ingredient_cost,-0.3441657995922602
2,Beta-Adrenoceptor Blocking Drugs,education,items,-0.11802781598742913
2,Beta-Adrenoceptor Blocking Drugs,education,quantity,-0.14016252127635012
2,Beta-Adrenoceptor Blocking Drugs,education,act_cost,-0.13950136770659852
2,Beta-Adrenoceptor Blocking Drugs,education,net_ingredient_cost,-0.13997779540530234
2,Beta-Adrenoceptor Blocking Drugs,housing,items,0.0860353464286728
2,Beta-Adrenoceptor Blocking Drugs,housing,quantity,0.05313967581168594
2,Beta-Adrenoceptor Blocking Drugs,housing,act_cost,0.05196363310578878
2,Beta-Adrenoceptor Blocking Drugs,housing,net_ingredient_cost,0.05309339565294433
2,Beta-Adrenoceptor Blocking Drugs,income,items,-0.21354424185599946
2,Beta-Adrenoceptor Blocking Drugs,income,quantity,-0.2302543374284704
2,Beta-Adrenoceptor Blocking Drugs,income,act_cost,-0.22975339074732495
2,Beta-Adrenoceptor Blocking Drugs,income,net_ingredient_cost,-0.23077931793542014
2,Beta-Adrenoceptor Blocking Drugs,health,items,-0.14413091612987702
2,Beta-Adrenoceptor Blocking Drugs,health,quantity,-0.17709133521684065
2,Beta-Adrenoceptor Blocking Drugs,health,act_cost,-0.17030004912919466
2,Beta-Adrenoceptor Blocking Drugs,health,net_ingredient_cost,-0.17159793032760964
2,Beta-Adrenoceptor Blocking Drugs,IMD,items,-0.15588270798223544
2,Beta-Adrenoceptor Blocking Drugs,IMD,quantity,-0.18451570491281347
2,Beta-Adrenoceptor Blocking Drugs,IMD,act_cost,-0.18022720476655846
2,Beta-Adrenoceptor Blocking Drugs,IMD,net_ingredient_cost,-0.18098125283307476
2,Beta-Adrenoceptor Blocking Drugs,children,items,-0.2085727595199287
2,Beta-Adrenoceptor Blocking Drugs,children,quantity,-0.2259473039269022
2,Beta-Adrenoceptor Blocking Drugs,children,act_cost,-0.22572118155211846
